NORDEN,IDHOGAR,TMUNI,NHOGAR,EHOGAR,SEXO,EDAD,NACIONALIDAD,ESTUDIANTE,REGLADO,NOREGLADO,Nivel_estudios,Nivel_estudios_especifico,Tipo_educacion,Localización_Centro,importe_matricula_clases,servicio_comedor,importe_comedor,servicio_transporte,importe_transporte,servicio_alojamiento,importe_alojamiento,servicio_ampliacion_horario,importe_ampliacion_horario,servicio_clases_apoyo,importe_clases_apoyo,servicio_actividades_extraescolares,importe_actividades_extraescolares,servicio_actividades_complementarias,importe_actividades_complementarias,servicio_cuota_ampa,importe_cuota_ampa,servicio_otros,importe_otros_servicios,servicio_clases_particulares,importe_clases_particulares,importe_escuela_idiomas,importe_estudios_idiomas_no_reglados,importe_ensenanzas_artisticas,importe_oposiciones_pruebas_acceso,importe_otros_estudios,gasto_libros,importe_libros,gasto_fotocopias,importe_fotocopias,gasto_uniformes,importe_uniformes,gasto_papeleria,importe_papeleria,gasto_muebles_accesorios,importe_muebles_accesorios,gasto_productos_informaticos,importe_productos_informaticos,gasto_otros_bienes,importe_otros_bienes,gasto_total_educacion,gasto_total_servicios,gasto_total_servicios_reglados,gasto_total_servicios_no_reglados,gasto_total_bienes,FACTOR
46164,7,100.000-499.999 habitantes,4,4,Mujer,45,Española,Sí,Sí,No,Educación Secundaria,Otros estudios de educación secundaria,Enseñanza pública,Municipio Residencia,50,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,50,0,0,0,0,1,20,2,0,2,0,1,75,2,0,2,0,2,0,145,50,50,0,95,1937.650821
46170,7,100.000-499.999 habitantes,4,4,Mujer,8,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,1,120,2,0,2,0,2,0,2,0,1,144,2,0,1,50,2,0,2,0,0,0,0,0,0,1,30,2,0,2,0,1,20,2,0,2,0,2,0,364,314,314,0,50,1937.650821
46186,7,100.000-499.999 habitantes,4,4,Mujer,6,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,1,120,2,0,2,0,2,0,2,0,1,144,2,0,1,50,2,0,2,0,0,0,0,0,0,1,27,2,0,2,0,2,0,2,0,2,0,2,0,341,314,314,0,27,1937.650821
46278,10,100.000-499.999 habitantes,4,3,Mujer,49,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,405,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,405,405,405,0,0,1930.238411
46297,10,100.000-499.999 habitantes,4,3,Mujer,10,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,70,1,15,2,0,2,0,0,0,0,0,0,1,30,2,0,2,0,1,45,2,0,2,0,2,0,160,85,85,0,75,1930.238411
46301,10,100.000-499.999 habitantes,4,3,Hombre,6,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,15,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,45,2,0,2,0,2,0,60,15,15,0,45,1930.238411
46339,11,100.000-499.999 habitantes,4,2,Mujer,18,Española,Sí,Sí,No,Educación Superior,Ciclos Formativos de Grado Superior,Enseñanza concertada,Municipio Residencia,1760,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,80,2,0,0,0,0,0,0,1,350,1,100,2,0,1,50,2,0,2,0,2,0,2340,1840,1840,0,500,3122.422977
46344,11,100.000-499.999 habitantes,4,2,Hombre,6,Española,Sí,Sí,Sí,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,640,1,1080,2,0,2,0,2,0,1,174,1,90,1,60,1,12,1,16,2,0,0,0,300,0,0,1,80,1,80,2,0,2,0,2,0,2,0,2,0,2532,2372,2072,300,160,3122.422977
228,12,100.000-499.999 habitantes,4,2,Hombre,6,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza concertada,Municipio Residencia,460,2,0,2,0,2,0,2,0,2,0,1,72,1,20,1,10,1,20,2,0,0,0,0,0,0,1,300,1,50,1,220,1,100,1,400,2,0,2,0,1652,582,582,0,1070,1833.186064
234,12,100.000-499.999 habitantes,4,2,Hombre,3,Española,Sí,Sí,No,Educación Infantil,1º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,450,2,0,2,0,2,0,2,0,2,0,2,0,1,25,1,10,1,18,2,0,0,0,0,0,0,2,0,1,45,1,100,2,0,2,0,2,0,2,0,648,503,503,0,145,1833.186064
98659,13,100.000-499.999 habitantes,4,2,Mujer,10,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza concertada,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,25,1,15,1,800,2,0,0,0,0,0,0,1,199,1,13,1,50,1,50,2,0,2,0,1,50,1202,840,840,0,362,4372.926354
98662,13,100.000-499.999 habitantes,4,2,Mujer,7,Española,Sí,Sí,Sí,Educación Primaria,Educación Primaria,Enseñanza concertada,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,25,2,0,1,800,2,0,0,408,0,0,0,1,217,1,50,1,75,1,50,1,200,1,170,2,0,1995,1233,825,408,762,4372.926354
109785,14,<10.000 habitantes,4,1,Hombre,3,Española,Sí,Sí,No,Educación Infantil,1º Ciclo de Educación Infantil,Enseñanza pública,Misma Provincia,0,1,516,2,0,2,0,2,0,2,0,2,0,2,0,1,20,2,0,2,0,0,0,0,0,0,2,0,1,60,2,0,2,0,2,0,2,0,2,0,596,536,536,0,60,3823.520985
109824,15,<10.000 habitantes,4,3,Mujer,9,Española,Sí,Sí,Sí,Educación Primaria,Educación Primaria,Enseñanza concertada,Misma Provincia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,30,1,18,1,720,2,0,0,0,330,0,0,1,240,2,0,2,0,1,240,2,0,2,0,2,0,1578,1098,768,330,480,4143.84958
109830,15,<10.000 habitantes,4,3,Mujer,6,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza concertada,Misma Provincia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,15,1,17,1,720,2,0,0,0,0,0,0,1,32,2,0,2,0,1,240,2,0,2,0,2,0,1024,752,752,0,272,4143.84958
67241,16,100.000-499.999 habitantes,4,2,Mujer,20,Española,Sí,Sí,No,Educación Superior,Ciclos Formativos de Grado Superior,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,300,1,75,2,0,1,10,2,0,2,0,2,0,385,0,0,0,385,1050.133951
67254,16,100.000-499.999 habitantes,4,2,Mujer,12,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,5,2,0,2,0,1,252,0,0,0,0,0,1,50,1,100,2,0,1,80,2,0,1,350,2,0,837,257,257,0,580,1050.133951
67289,17,100.000-499.999 habitantes,8,3,Hombre,16,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,50,2,0,2,0,2,0,0,0,0,0,0,1,80,1,40,1,40,1,30,2,0,2,0,2,0,240,50,50,0,190,1284.867799
67292,17,100.000-499.999 habitantes,8,3,Hombre,9,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,1,540,2,0,2,0,2,0,2,0,2,0,1,20,2,0,2,0,2,0,0,0,0,0,0,1,200,2,0,1,70,1,80,2,0,2,0,2,0,910,560,560,0,350,1284.867799
67313,17,100.000-499.999 habitantes,8,3,Mujer,9,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,1,0,2,0,2,0,2,0,2,0,2,0,1,20,2,0,2,0,2,0,0,0,0,0,0,1,20,2,0,1,70,1,30,2,0,2,0,2,0,140,20,20,0,120,1284.867799
67365,18,100.000-499.999 habitantes,4,2,Hombre,23,Española,Sí,Sí,Sí,Educación Superior,Ciclos Formativos de Grado Superior,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,150,1,20,1,30,2,0,1,20,2,0,1,150,2,0,370,150,0,150,220,1296.856079
67371,18,100.000-499.999 habitantes,4,2,Hombre,20,Española,Sí,Sí,No,Educación Superior,Ciclos Formativos de Grado Superior,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,50,2,0,1,20,2,0,2,0,2,0,70,0,0,0,70,1296.856079
67387,19,100.000-499.999 habitantes,2,1,Mujer,16,Española,Sí,Sí,Sí,Educación Secundaria,Bachillerato,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,50,2,0,1,70,2,0,0,408,0,0,0,1,365,1,15,2,0,1,100,1,84,1,50,1,20,1162,528,120,408,634,1442.027833
46395,20,100.000-499.999 habitantes,3,1,Mujer,1,Española,Sí,Sí,No,Educación Infantil,1º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,50,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,50,2,0,2,0,1,10,2,0,2,0,2,0,110,50,50,0,60,1837.155468
46421,21,100.000-499.999 habitantes,3,2,Mujer,4,Española,Sí,Sí,Sí,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,30,2,0,2,0,2,0,0,0,210,0,0,1,120,2,0,1,250,1,30,1,230,2,0,2,0,870,240,30,210,630,977.458749
46468,22,100.000-499.999 habitantes,4,2,Mujer,25,Española,Sí,Sí,Sí,Educación Superior,Estudios Universitarios,Enseñanza pública,Otra CA,2500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,40,0,0,4800,1,80,1,60,2,0,1,40,2,0,1,30,1,40,7590,7340,2500,4840,250,1327.33685
311,23,100.000-499.999 habitantes,4,2,Hombre,4,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,1070,1,720,2,0,2,0,2,0,2,0,1,504,2,0,1,45,2,0,2,0,0,0,0,0,0,1,250,2,0,1,200,2,0,2,0,2,0,2,0,2789,2339,2339,0,450,1593.227335
326,23,100.000-499.999 habitantes,4,2,Hombre,3,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,1030,1,720,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,250,2,0,1,100,2,0,2,0,2,0,2,0,2100,1750,1750,0,350,1593.227335
347,24,100.000-499.999 habitantes,4,2,Mujer,54,Española,Sí,Sí,No,Educación Secundaria,Otros estudios de educación secundaria,Enseñanza pública,Municipio Residencia,70,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,70,0,0,0,0,1,40,2,0,2,0,1,15,2,0,2,0,2,0,125,70,70,0,55,1080.786958
363,24,100.000-499.999 habitantes,4,2,Mujer,23,Española,Sí,Sí,Sí,Educación Superior,Estudios Universitarios,Enseñanza privada,Otra CA,1500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,400,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1900,1900,1500,400,0,1080.786958
419,25,100.000-499.999 habitantes,5,5,Mujer,19,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza pública,Municipio Residencia,1143,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,150,1,120,0,0,0,0,0,1,70,1,30,2,0,1,45,2,0,2,0,2,0,1558,1413,1413,0,145,1610.377409
445,26,10.000-49.999 habitantes,6,4,Mujer,13,Española,Sí,Sí,Sí,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,439,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,450,0,0,0,1,435,2,0,1,80,1,25,2,0,2,0,1,10,1439,889,439,450,550,1480.898097
458,26,10.000-49.999 habitantes,6,4,Mujer,11,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Otra CA,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,10,1,300,1,100,2,0,2,0,2,0,410,0,0,0,410,1480.898097
461,26,10.000-49.999 habitantes,6,4,Hombre,10,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,12,2,0,1,210,0,0,0,0,0,1,228,1,15,1,200,1,120,2,0,2,0,2,0,785,222,222,0,563,1480.898097
477,26,10.000-49.999 habitantes,6,4,Hombre,7,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,10,1,36,1,240,2,0,2,0,2,0,286,0,0,0,286,1480.898097
509,27,10.000-49.999 habitantes,4,2,Hombre,13,Española,Sí,Sí,Sí,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,360,0,240,192,0,0,1,55,1,6,1,250,1,150,2,0,2,0,1,40,1293,792,360,432,501,1178.993108
516,27,10.000-49.999 habitantes,4,2,Hombre,11,Española,Sí,Sí,Sí,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,15,1,15,1,20,2,0,0,270,0,0,0,1,35,1,8,1,150,1,40,1,70,1,50,1,25,698,320,50,270,378,1178.993108
542,28,10.000-49.999 habitantes,3,1,Hombre,24,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza pública,Otra CA,1320,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,40,2,0,1,60,2,0,2,0,1,50,1470,1320,1320,0,150,1136.073878
574,29,10.000-49.999 habitantes,3,1,Mujer,18,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza pública,Otra CA,180,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,50,2,0,1,20,1,45,2,0,2,0,295,180,180,0,115,991.788932
593,30,10.000-49.999 habitantes,3,1,Mujer,14,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,40,1,9,2,0,2,0,0,0,0,0,0,1,80,1,6,2,0,1,30,2,0,2,0,2,0,165,49,49,0,116,1277.505845
614,31,10.000-49.999 habitantes,4,3,Mujer,55,Española,Sí,Sí,Sí,Educación Secundaria,Otros estudios de educación secundaria,Enseñanza pública,Municipio Residencia,63,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,63,0,0,1380,0,1,78,1,30,2,0,1,20,2,0,2,0,2,0,1571,1443,63,1380,128,881.055618
635,31,10.000-49.999 habitantes,4,3,Hombre,15,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,20,1,12,2,0,2,0,0,0,0,0,0,1,165,2,0,2,0,1,20,2,0,2,0,2,0,217,32,32,0,185,881.055618
640,31,10.000-49.999 habitantes,4,3,Hombre,19,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza pública,Otra CA,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,300,0,0,0,0,0,2,0,2,0,2,0,1,25,2,0,2,0,2,0,325,300,300,0,25,881.055618
23994,32,10.000-49.999 habitantes,4,2,Mujer,19,Española,Sí,Sí,No,Educación Superior,Ciclos Formativos de Grado Superior,Enseñanza pública,Otra CA,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,200,2,0,2,0,2,0,2,0,2,0,200,0,0,0,200,1173.312084
24008,32,10.000-49.999 habitantes,4,2,Mujer,15,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,70,1,5,2,0,1,20,2,0,2,0,2,0,95,0,0,0,95,1173.312084
24036,33,10.000-49.999 habitantes,4,2,Hombre,11,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza concertada,Municipio Residencia,225,2,0,2,0,2,0,2,0,2,0,1,90,1,60,1,20,2,0,2,0,0,0,0,0,0,1,350,2,0,1,200,1,75,2,0,2,0,1,35,1055,395,395,0,660,1213.527102
24041,33,10.000-49.999 habitantes,4,2,Hombre,6,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza concertada,Municipio Residencia,225,2,0,2,0,2,0,2,0,2,0,1,90,2,0,1,20,2,0,2,0,0,0,0,0,0,1,150,2,0,1,150,1,50,2,0,2,0,2,0,685,335,335,0,350,1213.527102
24089,34,10.000-49.999 habitantes,1,1,Hombre,29,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza privada,Municipio Residencia,300,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,300,300,300,0,0,3366.619053
24113,35,10.000-49.999 habitantes,4,2,Hombre,3,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,250,2,0,2,0,2,0,2,0,2,0,1,180,2,0,1,60,2,0,2,0,0,0,0,0,0,2,0,2,0,1,600,1,100,2,0,2,0,2,0,1190,490,490,0,700,1914.116699
24152,36,10.000-49.999 habitantes,4,2,Hombre,12,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,10,2,0,2,0,0,0,0,0,0,1,215,2,0,2,0,1,75,2,0,1,160,1,20,480,10,10,0,470,1585.356987
24165,36,10.000-49.999 habitantes,4,2,Mujer,9,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,12,2,0,2,0,0,0,0,0,0,1,240,2,0,2,0,1,75,2,0,2,0,2,0,327,12,12,0,315,1585.356987
46493,37,<10.000 habitantes,3,1,Mujer,16,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Misma Provincia,0,2,0,1,0,2,0,2,0,2,0,2,0,1,5,2,0,2,0,2,0,0,0,0,0,0,1,0,1,50,2,0,1,30,2,0,2,0,2,0,85,5,5,0,80,1127.896525
46534,39,10.000-49.999 habitantes,4,2,Hombre,22,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza privada,Otra CA,2170,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,27,2,0,0,0,0,0,0,1,200,1,100,2,0,1,300,2,0,2,0,2,0,2797,2197,2197,0,600,968.246131
46549,39,10.000-49.999 habitantes,4,2,Mujer,20,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza privada,Otra CA,1500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,300,2,0,0,0,0,0,0,1,400,1,300,2,0,1,120,1,400,2,0,2,0,3020,1800,1800,0,1220,968.246131
46571,40,10.000-49.999 habitantes,4,2,Mujer,9,Española,Sí,Sí,Sí,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,1,114,2,0,1,15,2,0,2,0,0,240,0,0,0,1,338,2,0,1,50,1,45,2,0,2,0,1,300,1102,369,129,240,733,947.382828
46587,40,10.000-49.999 habitantes,4,2,Mujer,6,Española,Sí,Sí,Sí,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,15,2,0,2,0,0,240,0,0,0,1,333,2,0,1,65,1,58,2,0,2,0,2,0,711,255,15,240,456,947.382828
46611,41,10.000-49.999 habitantes,4,2,Hombre,12,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,65,1,10,2,0,1,384,0,0,0,0,0,1,150,1,15,1,60,1,50,2,0,2,0,1,15,749,459,459,0,290,1581.10962
46626,41,10.000-49.999 habitantes,4,2,Hombre,5,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,15,2,0,2,0,0,0,0,0,0,1,170,2,0,2,0,1,28,2,0,2,0,2,0,213,15,15,0,198,1581.10962
98684,42,100.000-499.999 habitantes,4,2,Hombre,50,Española,Sí,Sí,No,Educación Superior,Ciclos Formativos de Grado Superior,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1952.253495
98697,42,100.000-499.999 habitantes,4,2,Hombre,5,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,1,0,2,0,2,0,1,20,1,20,2,0,2,0,0,0,0,0,0,1,119,2,0,1,60,1,10,1,50,2,0,1,15,294,40,40,0,254,1952.253495
86414,43,100.000-499.999 habitantes,3,1,Hombre,11,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,20,1,20,2,0,2,0,0,0,0,0,0,1,60,1,20,2,0,1,60,2,0,2,0,2,0,180,40,40,0,140,3254.344012
